UPDATE SingleCodeCoupon;couponId[unique=true];name[lang=pt];startDate[dateformat=dd-MM-yyyy HH:mm:ss];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;maxTotalRedemptions;active[default=true]
;ANIVER108;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER109;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER110;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER111;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER112;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER113;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER114;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER115;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER116;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER117;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER118;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER119;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER120;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER121;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
